,,,,,,,,,,,,
Sous-préfecture de Yaoundé VI,"3,8",(12),Non défini,Administration gouvernementale,"RFRQ+C3M, Yaoundé, Cameroun",Fermé,Non défini,https://lh5.googleusercontent.com/p/AF1QipNGjMdXxkcGyqAzDbrew5uFIFuuR4AF4sUncTFt=w408-h306-k-no,Non défini,Non défini,Non défini,+237694558642
Sous-préfecture de Yaoundé VI,"3,8",(12),Non défini,Administration gouvernementale,"RFRQ+C3M, Yaoundé, Cameroun",Fermé,Non défini,https://lh5.googleusercontent.com/p/AF1QipNGjMdXxkcGyqAzDbrew5uFIFuuR4AF4sUncTFt=w408-h306-k-no,Non défini,Non défini,Non défini,+237694558642
Sous-Préfecture de Yaoundé 1,"3,8",(11),Non défini,Administration gouvernementale,"VGJ8+894, Yaoundé, Cameroun",Fermé,Non défini,https://lh5.googleusercontent.com/p/AF1QipNE_LA9Pr05uXfw_eCjT25O3uBe79JC1vBTIYYJ=w426-h240-k-no,Non défini,Non défini,Non défini,Non défini
Sous Prefecture Yaounde IV,"4,2",(12),Non défini,Administration gouvernementale,"VG3P+3QC, Yaoundé, Cameroun",Fermé,Non défini,https://lh5.googleusercontent.com/p/AF1QipNImvpmM5gbWyJSof7cjIpeAVDPaF41Jz7yoVCE=w426-h240-k-no,Non défini,Non défini,Non défini,Non défini
Sous prefecture de Yaoundé II,"5,0",(2),Non défini,Administration,"VGP2+MC5, Yaoundé, Cameroun",Non défini,Non défini,https://lh5.googleusercontent.com/p/AF1QipM6zN9DfJ3EBphmbtc9VQH7TsNfcpCnChNcr51J=w408-h544-k-no,Non défini,Non défini,Non défini,Non défini
Sous-préfecture Yaoundé VII,"3,8",(8),Non défini,Administration gouvernementale,"VF32+539, Komassi, Yaoundé, Cameroun",Non défini,Non défini,https://lh5.googleusercontent.com/p/AF1QipOYQNwJogDgdpjfvjHk6a0IYY1z0eEo_nleC6nw=w408-h306-k-no,Non défini,Non défini,Non défini,+237679392668
SOUS-PRÉFECTURE YAOUNDÉ 6,"5,0",(1),Non défini,Administration,"VF2R+JMV, Accasia, Biyem-assi, Yaoundé, Cameroun",Fermé,Non défini,https://lh5.googleusercontent.com/p/AF1QipMZ5dehEhYJ2Fmr9D1W7rtjQ-c8ADziGelF-a5c=w408-h816-k-no,Non défini,Non défini,Non défini,Non défini
Sous-préfecture de Yaounde 5,"3,2",(59),Non défini,Siège social,"VHV8+8WP, Yaoundé, Cameroun",Non défini,Non défini,https://lh5.googleusercontent.com/p/AF1QipOFR-6GAkxyLv9haaOqigjhnLK6I7SjnHlicm8y=w408-h544-k-no,Non défini,Non défini,Non défini,+237663437054
Sous-préfecture de Yaounde 5,"3,2",(59),Non défini,Siège social,"VHV8+8WP, Yaoundé, Cameroun",Non défini,Non défini,https://lh5.googleusercontent.com/p/AF1QipOFR-6GAkxyLv9haaOqigjhnLK6I7SjnHlicm8y=w408-h544-k-no,Non défini,Non défini,Non défini,+237663437054
Sous-Préfecture de Yaoundé III,Non défini,Non défini,Non défini,Administration,"VG4G+FP7, Rue Joseph Ayyisi, Yaoundé, Cameroun",Non défini,Non défini,//maps.gstatic.com/tactile/pane/default_geocode-2x.png,Non défini,Non défini,Non défini,Non défini
Sous-Prefecture de Yaoundé II,Non défini,Non défini,Non défini,Administration,"VFCX+M22, Yaoundé, Cameroun",Non défini,Non défini,//maps.gstatic.com/tactile/pane/default_geocode-2x.png,Non défini,Non défini,Non défini,Non défini
Carrefour sous prefecture tsinga,"3,9",(7),Non défini,Administration,"VGP2+PMR, Yaoundé, Cameroun",Non défini,Non défini,https://lh5.googleusercontent.com/p/AF1QipMPgIrJNiXOHPc0IxSHBM1295VvL5EZNGwWpE4h=w408-h306-k-no,Non défini,Non défini,Non défini,Non défini
